timestamp,ax,ay,az,gx,gy,gz
1374485, 0.627930, 0.372559, -0.689087, 0.183106, -0.793457, -1.281738
1374505, 0.634033, 0.382080, -0.689087, 0.183106, -0.671387, -1.098633
1374525, 0.635498, 0.379517, -0.687744, 0.366211, -0.732422, -0.793457
1374545, 0.630493, 0.373901, -0.687988, 0.610352, -1.159668, -1.159668
1374565, 0.635254, 0.373657, -0.686646, 0.549316, -1.586915, -1.892090
1374585, 0.632324, 0.379517, -0.690308, 0.610352, -2.258301, -2.990724
1374605, 0.627319, 0.374878, -0.686035, 0.610352, -2.075195, -2.868653
1374625, 0.630371, 0.377686, -0.690308, 0.061035, -1.220703, -2.563477
1374645, 0.632202, 0.381836, -0.686157, -0.183106, -0.732422, -2.075195
1374665, 0.633545, 0.388062, -0.690674, 0.122070, -0.915528, -1.220703
1374685, 0.636108, 0.393433, -0.687134, 0.549316, -0.976563, -0.976563
1374705, 0.635010, 0.378418, -0.679321, 1.098633, -1.159668, -1.037598
1374725, 0.625244, 0.372070, -0.689941, 0.427246, -1.586915, -2.624512
1374745, 0.629639, 0.382202, -0.688599, 0.427246, -1.831055, -3.479005
1374765, 0.623535, 0.386597, -0.695923, 0.549316, -2.502441, -3.417970
1374805, 0.627441, 0.389648, -0.690063, 0.488281, -0.854492, -0.976563
1374825, 0.625366, 0.380737, -0.687988, 0.671387, -0.976563, -1.403809
1374845, 0.621826, 0.381592, -0.689453, -0.244141, -1.220703, -1.831055
1374865, 0.630127, 0.397583, -0.688721, 0.061035, -0.854492, -1.159668
1374885, 0.633423, 0.392334, -0.691772, 0.854492, -1.342773, -0.305176
1374905, 0.627319, 0.386841, -0.691040, 0.732422, -1.159668, 0.549316
1374925, 0.620728, 0.377930, -0.687500, -0.061035, -0.549316, -0.061035
1374945, 0.624268, 0.385620, -0.691040, -0.061035, -0.671387, -1.159668
1374965, 0.629395, 0.385132, -0.694824, 0.183106, -0.854492, -1.159668
1374985, 0.626709, 0.387329, -0.691406, 0.183106, -0.427246, -0.488281
1375005, 0.625488, 0.383423, -0.689331, 0.366211, -0.610352, -0.732422
1375025, 0.622314, 0.383423, -0.690308, 0.183106, -0.671387, -1.403809
1375105, 0.620605, 0.384521, -0.691528, 0.061035, -0.732422, -0.915528
1375125, 0.627808, 0.398926, -0.696289, 0.915528, -1.037598, -0.610352
1375145, 0.623291, 0.385742, -0.692383, 0.671387, -0.793457, 0.061035
1375165, 0.623413, 0.387817, -0.688599, 0.915528, -0.976563, -0.610352
1375185, 0.622559, 0.384766, -0.689453, 0.793457, -1.342773, -1.098633
1375205, 0.623657, 0.390137, -0.691895, 0.549316, -1.525879, -1.037598
1375225, 0.627075, 0.386841, -0.691895, 0.671387, -0.976563, -0.488281
1375245, 0.621948, 0.380737, -0.688965, 0.488281, -0.732422, -0.915528
1375265, 0.613403, 0.379761, -0.689819, -0.244141, -0.305176, -1.892090
1375285, 0.624878, 0.391235, -0.692017, -0.793457, -0.122070, -2.197266
1375305, 0.628784, 0.402344, -0.691772, 0.061035, -0.793457, -1.464844
1375325, 0.631226, 0.403687, -0.692627, 0.854492, -0.976563, 0.549316
1375345, 0.621460, 0.389648, -0.687012, 0.915528, -1.220703, 0.610352
1375365, 0.619019, 0.379761, -0.686890, 0.854492, -1.403809, -0.366211
1375385, 0.619019, 0.385742, -0.696655, 0.183106, -0.915528, -0.915528
1375405, 0.623413, 0.392212, -0.692139, 0.183106, -0.793457, -0.488281
1375425, 0.626465, 0.385864, -0.691284, 0.183106, -1.403809, -0.793457
1375445, 0.616943, 0.398682, -0.692749, 0.061035, -0.549316, -0.610352
1375465, 0.623169, 0.382446, -0.686646, 0.183106, -0.427246, -0.305176
1375485, 0.618530, 0.403564, -0.686035, 0.488281, -0.671387, -0.061035
1375505, 0.625244, 0.392212, -0.695068, 0.610352, -1.037598, 0.061035
1375545, 0.618286, 0.378052, -0.686890, 0.427246, -0.854492, -1.342773
1375585, 0.628662, 0.408325, -0.696045, 0.366211, -0.915528, 0.000000
1375605, 0.625122, 0.397705, -0.689941, 1.403809, -1.281738, 0.915528
1375625, 0.615112, 0.376709, -0.688110, 1.098633, -1.281738, 0.183106
1375645, 0.616333, 0.376587, -0.691650, 0.183106, -0.976563, -1.159668
1375705, 0.608032, 0.369019, -0.688965, 3.662110, -2.563477, -11.169437
1375725, 0.590210, 0.356689, -0.697266, 2.563477, -1.159668, -15.747074
1375745, 0.595337, 0.321777, -0.705078, -1.770020, 1.586915, -23.559578
1375765, 0.586548, 0.291992, -0.688599, -8.666992, -1.037598, -37.353516
1375785, 0.558838, 0.264771, -0.689331, -15.747074, -4.455566, -54.687515
1375805, 0.513428, 0.323120, -0.696899, -28.747566, -0.549316, -56.213394
1375825, 0.515015, 0.453491, -0.687744, -31.860359, 12.695316, -53.039566
1375845, 0.549316, 0.487793, -0.660889, -27.282722, 25.878914, -46.936050
1375865, 0.545654, 0.543335, -0.672363, -21.118164, 31.127937, -35.766602
1375885, 0.598389, 0.670044, -0.658447, -13.427738, 34.667969, -23.376472
1375905, 0.643066, 0.674805, -0.620361, -1.464844, 33.020020, -12.084965
1375925, 0.671997, 0.596924, -0.604736, 3.906251, 23.742683, -7.690432
1375945, 0.654419, 0.531494, -0.591309, 4.150391, 14.648441, -5.737307
1375965, 0.627441, 0.538574, -0.596802, 3.479005, 8.300781, -4.211426
1375985, 0.628296, 0.550049, -0.598145, 5.737307, 4.943848, -2.563477
1376005, 0.604004, 0.511475, -0.620728, 7.019045, 4.211426, -1.647950
1376025, 0.583496, 0.515747, -0.655518, 3.479005, 1.098633, -1.525879
1376045, 0.576172, 0.543213, -0.641113, 0.305176, 2.258301, -2.746582
1376065, 0.591309, 0.530151, -0.608643, 0.122070, 5.126953, -3.540040
1376085, 0.603516, 0.525635, -0.622192, -0.183106, 5.187988, -3.234864
1376105, 0.645630, 0.537598, -0.606934, -0.427246, 0.366211, -3.540040
1376125, 0.594971, 0.532959, -0.614746, -0.122070, -1.586915, -3.662110
1376145, 0.597900, 0.533936, -0.619019, 0.122070, -1.403809, -2.380371
1376165, 0.592163, 0.526489, -0.625122, 1.220703, -2.380371, -1.037598
1376185, 0.601318, 0.527588, -0.620239, 0.671387, -4.699707, 0.427246
1376205, 0.628662, 0.529785, -0.605957, 1.159668, -11.169437, 1.159668
1376225, 0.605591, 0.516235, -0.618286, 1.037598, -18.066406, 1.953125
1376245, 0.533081, 0.500732, -0.628174, -1.525879, -10.986328, 10.314941
1376265, 0.601563, 0.516846, -0.625732, -9.277344, -2.929688, 17.150879
1376285, 0.623291, 0.543945, -0.591919, -13.671879, -1.770020, 18.981934
1376305, 0.624634, 0.561523, -0.594727, -12.817387, -0.610352, 15.747074
1376325, 0.589844, 0.546143, -0.626221, -11.230473, -0.061035, 10.681152
1376345, 0.592529, 0.542480, -0.634155, -13.183598, 0.549316, 9.704590
1376365, 0.584839, 0.555786, -0.624390, -14.831547, 2.502441, 7.873537
1376385, 0.616211, 0.549683, -0.627563, -13.061527, -0.305176, 3.723145
1376405, 0.610229, 0.543823, -0.617554, -12.695316, -4.516602, 0.427246
1376425, 0.584473, 0.524414, -0.617432, -10.681152, -2.624512, -0.976563
1376445, 0.590088, 0.544922, -0.616943, -10.803223, 0.427246, -0.671387
1376465, 0.601807, 0.550049, -0.608154, -9.643555, -1.342773, -2.441406
1376485, 0.604126, 0.559814, -0.611816, -8.605957, -2.807618, -4.821777
1376505, 0.610962, 0.580444, -0.612915, -9.277344, -4.943848, -8.361816
1376525, 0.598022, 0.563843, -0.608887, -10.437012, -9.216309, -11.291508
1376545, 0.587524, 0.532715, -0.617676, -10.559082, -10.009766, -10.437012
1376565, 0.601563, 0.562866, -0.617554, -11.718754, -12.817387, -11.108402
1376605, 0.566162, 0.568970, -0.607178, -10.681152, 1.098633, -12.268070
1376625, 0.586548, 0.567505, -0.559692, -8.972168, -3.540040, -15.808109
1376645, 0.567993, 0.552734, -0.609253, -7.019045, -2.624512, -16.174316
1376665, 0.570923, 0.573975, -0.578003, -5.981447, -1.037598, -13.366703
1376685, 0.565308, 0.580200, -0.587158, -4.882813, -3.540040, -12.939457
1376705, 0.567505, 0.584229, -0.591919, -4.089355, -2.319336, -11.779789
1376725, 0.557495, 0.583252, -0.560913, -2.441406, -1.831055, -10.986328
1376745, 0.556885, 0.578979, -0.584351, -0.732422, -3.601075, -9.582520
1376765, 0.565308, 0.585815, -0.551758, 0.610352, -4.943848, -5.615236
1376785, 0.566895, 0.598511, -0.593384, 0.305176, -3.662110, -5.065918
1376805, 0.552002, 0.599976, -0.574951, 0.427246, -1.403809, -4.394531
1376825, 0.564941, 0.604126, -0.572998, 1.525879, -2.807618, -3.723145
1376845, 0.543701, 0.591309, -0.583374, 1.770020, -3.784181, -2.380371
1376865, 0.560547, 0.598633, -0.588989, 1.098633, -2.502441, -0.305176
1376885, 0.552246, 0.604370, -0.599121, 0.488281, -4.272461, -1.098633
1376905, 0.526611, 0.609497, -0.599365, 0.183106, -3.540040, -0.366211
1376925, 0.535156, 0.609131, -0.593994, 0.183106, -0.610352, 0.854492
1376945, 0.557495, 0.603149, -0.595459, 0.000000, -1.708985, 1.342773
1376965, 0.568481, 0.604736, -0.593018, -0.488281, -7.690432, 0.671387
1376985, 0.531738, 0.606323, -0.602295, -0.793457, -8.972168, 0.915528
1377005, 0.524902, 0.608276, -0.600220, -0.671387, -5.432129, 2.502441
1377025, 0.571411, 0.600220, -0.603516, -1.708985, -8.666992, 3.051759
1377045, 0.581177, 0.606445, -0.594849, -1.770020, -16.174316, 1.464844
1377065, 0.588623, 0.612061, -0.579224, -1.037598, -22.766121, 0.061035
1377085, 0.594971, 0.616699, -0.581421, 1.159668, -38.757324, -2.075195
1377105, 0.531372, 0.612793, -0.603760, 2.990724, -43.884277, -3.051759
1377125, 0.512085, 0.576538, -0.630493, 2.014160, -49.499527, -3.662110
1377145, 0.384521, 0.567993, -0.628784, -14.831547, -12.695316, 18.920898
1377165, 0.563232, 0.612061, -0.559692, -16.784668, 5.310059, 27.160652
1377185, 0.574097, 0.607300, -0.579102, -11.291508, -2.136230, 20.019531
1377205, 0.523682, 0.611694, -0.643433, -14.831547, -5.004883, 20.263672
