timestamp,ax,ay,az,gx,gy,gz
1350167, 0.258545, 0.930664, -0.234985, -1.953125, -5.615236, -4.211426
1350187, 0.241577, 0.956543, -0.239136, -1.281738, -2.929688, -2.197266
1350207, 0.247314, 0.931030, -0.233521, -0.366211, -3.540040, -0.061035
1350227, 0.273193, 0.930176, -0.267578, -1.831055, 0.488281, -0.366211
1350247, 0.264404, 0.944946, -0.226807, -2.075195, 1.037598, -0.427246
1350267, 0.282593, 0.941406, -0.222534, -0.244141, 1.525879, -0.793457
1350287, 0.296265, 0.938721, -0.246338, -0.671387, 0.244141, -3.173829
1350307, 0.268799, 0.937744, -0.235840, -0.671387, -1.342773, -4.089355
1350327, 0.254883, 0.942139, -0.235840, -0.366211, 0.671387, -3.784181
1350347, 0.256836, 0.940796, -0.239136, -0.061035, 0.854492, -2.990724
1350367, 0.241211, 0.937622, -0.245239, -0.671387, 0.854492, -1.708985
1350387, 0.242676, 0.945679, -0.229370, -0.610352, 1.892090, 0.488281
1350407, 0.254639, 0.942383, -0.230103, 0.366211, 4.089355, 0.854492
1350427, 0.261719, 0.939697, -0.239258, 0.305176, 5.737307, 1.220703
1350447, 0.267090, 0.939819, -0.234375, 0.305176, 7.141115, 0.915528
1350467, 0.276489, 0.938721, -0.237793, 0.732422, 5.371094, 0.915528
1350487, 0.280396, 0.937378, -0.242554, 0.000000, 4.943848, 0.183106
1350507, 0.279053, 0.939453, -0.237915, -0.549316, 3.845216, -0.671387
1350527, 0.260498, 0.940308, -0.233887, -0.671387, 4.394531, -0.610352
1350547, 0.255249, 0.945068, -0.219971, -0.183106, 5.249023, 0.366211
1350567, 0.241699, 0.948120, -0.208740, 1.342773, 3.784181, 2.685547
1350587, 0.242065, 0.951294, -0.209473, 3.662110, 2.746582, 5.493164
1350607, 0.227661, 0.951538, -0.218994, 5.065918, 4.760742, 8.483887
1350627, 0.188354, 0.952759, -0.243042, 6.408693, 14.587406, 12.512211
1350647, 0.220337, 0.973267, -0.220947, 11.413578, 18.432617, 20.385742
1350667, 0.239746, 1.087769, -0.169678, 59.631363, -4.882813, 30.578621
1350687, 0.298706, 1.121094, -0.415771, 81.970215, 2.624512, 38.024902
1350707, 0.393311, 1.018555, -0.522583, 93.994171, 13.793949, 31.677254
1350727, 0.380493, 0.915283, -0.623291, 101.257355, 13.488773, 24.780281
1350747, 0.292236, 0.835938, -0.653320, 105.224640, 15.991215, 21.850586
1350767, 0.245117, 0.728027, -0.646118, 108.276398, 36.682129, 17.700195
1350787, 0.271729, 0.609863, -0.667603, 103.088409, 73.547363, 7.507326
1350807, 0.355225, 0.527710, -0.651489, 93.078644, 104.919464, -2.258301
1350827, 0.430298, 0.539795, -0.620728, 80.139160, 124.694855, -16.601563
1350847, 0.537476, 0.556641, -0.461548, 67.565918, 129.089355, -40.161133
1350867, 0.543335, 0.515259, -0.401611, 59.265152, 114.685089, -52.978531
1350887, 0.473145, 0.533081, -0.478882, 39.306641, 114.563019, -59.875504
1350907, 0.392700, 0.619873, -0.484131, 5.065918, 105.102570, -51.757828
1350927, 0.383057, 0.680786, -0.334351, -23.620613, 77.148438, -33.935547
1350947, 0.413208, 0.781128, -0.210693, -40.405273, 38.452148, -20.812988
1350967, 0.392578, 0.894897, -0.207275, -49.499527, 6.591799, -14.953617
1350987, 0.397583, 0.992554, -0.180786, -50.842300, -19.226074, -6.408693
1351007, 0.414185, 1.099854, -0.151245, -40.588379, -46.997086, -2.868653
1351027, 0.456177, 1.220093, -0.154907, -24.169930, -85.205078, -0.366211
1351047, 0.427246, 1.139648, -0.269775, -0.854492, -119.934113, -8.972168
1351067, 0.361328, 0.982788, -0.392212, -2.624512, -111.450226, -25.939949
