timestamp,ax,ay,az,gx,gy,gz
1647143, 0.312866, 0.892822, -0.338745, -0.244141, -0.549316, -0.366211
1647163, 0.305420, 0.898682, -0.333374, -0.244141, -2.075195, -0.488281
1647183, 0.288452, 0.893311, -0.337524, -0.854492, 0.732422, 0.427246
1647203, 0.304199, 0.898193, -0.328125, -0.915528, 2.197266, 0.915528
1647223, 0.313354, 0.900146, -0.324707, -0.732422, 1.586915, 1.098633
1647243, 0.325684, 0.905029, -0.328613, -0.183106, 0.122070, 0.366211
1647263, 0.304199, 0.901855, -0.334473, -0.610352, 0.061035, 0.061035
1647283, 0.290161, 0.896362, -0.324829, -0.549316, 1.892090, 1.098633
1647303, 0.301025, 0.900757, -0.324219, -0.122070, 2.624512, 2.319336
1647323, 0.313354, 0.900146, -0.327515, -0.061035, 2.441406, 2.868653
1647343, 0.309570, 0.899170, -0.329956, -0.122070, 2.624512, 2.685547
1647363, 0.302856, 0.898560, -0.327026, -0.366211, 3.723145, 3.295899
1647383, 0.308594, 0.900635, -0.318726, -0.061035, 5.004883, 4.150391
1647403, 0.320923, 0.899902, -0.320557, 0.549316, 5.371094, 4.333496
1647423, 0.324463, 0.893799, -0.334717, 0.122070, 4.577637, 4.211426
1647443, 0.324585, 0.895142, -0.328979, -0.915528, 3.784181, 4.272461
1647463, 0.326538, 0.896851, -0.314819, -0.610352, 3.601075, 4.333496
1647483, 0.335571, 0.897461, -0.320923, -0.244141, 4.272461, 3.845216
1647503, 0.340454, 0.896362, -0.323364, -0.305176, 4.211426, 2.990724
1647523, 0.344116, 0.894287, -0.317993, -0.488281, 3.051759, 1.770020
1647543, 0.346436, 0.896973, -0.315674, -0.366211, 2.685547, 0.915528
1647563, 0.351440, 0.896240, -0.313110, -0.061035, 1.770020, -0.366211
1647583, 0.338135, 0.897705, -0.310303, 0.427246, 1.342773, -1.281738
1647603, 0.326294, 0.897583, -0.312500, 1.098633, 2.563477, -1.342773
1647623, 0.334229, 0.894409, -0.322510, 1.098633, 3.479005, -1.037598
1647643, 0.343506, 0.893677, -0.324341, 0.366211, 2.136230, -1.464844
1647663, 0.333008, 0.896973, -0.311523, 0.183106, 1.098633, -1.708985
1647683, 0.328857, 0.899780, -0.305786, 1.037598, 1.586915, -1.708985
1647703, 0.325684, 0.897949, -0.307861, 1.831055, 2.136230, -1.220703
1647723, 0.338867, 0.897461, -0.312134, 2.746582, 0.366211, -0.427246
1647743, 0.357788, 0.895508, -0.315796, 2.929688, -1.281738, -1.525879
1647763, 0.356812, 0.896606, -0.314331, 3.112794, -1.342773, -3.845216
1647783, 0.353027, 0.896729, -0.311035, 3.906251, -0.610352, -6.042482
1647803, 0.346313, 0.891235, -0.329102, 3.967286, -0.305176, -7.934572
1647823, 0.340942, 0.890991, -0.337158, 2.624512, -1.770020, -8.850098
1647843, 0.314697, 0.891113, -0.351929, 0.976563, -2.807618, -9.094238
1647863, 0.290161, 0.894653, -0.340942, -1.403809, -1.708985, -7.812502
1647883, 0.278076, 0.900879, -0.322632, -1.647950, 0.793457, -5.432129
1647903, 0.288086, 0.904175, -0.316406, -1.464844, 2.868653, -1.647950
1647923, 0.295166, 0.907959, -0.307007, -0.549316, 2.502441, 0.305176
1647943, 0.297119, 0.907715, -0.301880, 0.854492, 2.258301, 1.953125
1647963, 0.296387, 0.905151, -0.304688, 2.319336, 3.662110, 3.295899
1647983, 0.302002, 0.903687, -0.315552, 3.173829, 4.821777, 4.577637
1648003, 0.314331, 0.899536, -0.319214, 3.234864, 5.432129, 5.432129
1648023, 0.326538, 0.896240, -0.320679, 3.356935, 5.432129, 5.493164
1648043, 0.338257, 0.883545, -0.327026, 2.868653, 3.723145, 4.882813
1648063, 0.330811, 0.912109, -0.327515, 2.380371, 4.089355, 4.333496
1648083, 0.337158, 0.893433, -0.309082, 2.990724, 3.784181, 4.150391
1648103, 0.356812, 0.887573, -0.329712, 3.234864, 4.028320, 2.136230
1648123, 0.349121, 0.889160, -0.333130, 2.197266, 1.708985, 0.732422
1648143, 0.338379, 0.896240, -0.320313, 2.075195, -0.122070, 0.305176
1648163, 0.323486, 0.892334, -0.336060, 1.831055, 0.671387, 0.488281
1648183, 0.319702, 0.886475, -0.341309, 0.366211, 2.441406, 1.464844
1648203, 0.344727, 0.890137, -0.327759, -0.610352, 1.953125, 1.708985
1648223, 0.359253, 0.893921, -0.315186, -0.488281, 0.549316, 0.488281
1648243, 0.359131, 0.893433, -0.320557, 0.061035, -0.915528, -1.403809
1648263, 0.348511, 0.891479, -0.324463, -0.061035, -2.502441, -2.441406
1648283, 0.342285, 0.894653, -0.317505, -0.122070, -4.028320, -2.929688
1648303, 0.377319, 0.897583, -0.304565, 0.793457, -9.582520, -3.723145
1648323, 0.449707, 0.894531, -0.307739, 2.197266, -18.188477, -8.300781
