timestamp,ax,ay,az,gx,gy,gz
461278, 0.244507, 0.902588, -0.368896, -1.770020, 11.291508, 7.690432
461298, 0.372681, 0.897949, -0.319946, 0.366211, 10.986328, 4.882813
461318, 0.388062, 0.919067, -0.271484, 7.446291, 5.310059, -2.502441
461338, 0.347534, 0.903320, -0.318481, 12.939457, -0.244141, -9.521484
461358, 0.126831, 0.897705, -0.387939, 16.662598, 14.770512, -4.272461
461378, 0.225464, 0.882324, -0.425537, 14.526371, 21.362305, 3.906251
461398, 0.352905, 0.877686, -0.409424, 11.413578, 18.127441, 4.333496
461418, 0.370117, 0.879761, -0.386841, 9.948730, 5.249023, -0.244141
461438, 0.326904, 0.882690, -0.387939, 10.070801, 0.305176, -3.540040
461458, 0.290161, 0.881592, -0.399658, 9.765625, -3.967286, -3.601075
461478, 0.281128, 0.881348, -0.406372, 8.789063, -6.591799, -2.075195
461498, 0.275879, 0.874390, -0.414917, 8.239746, -8.361816, -1.159668
461518, 0.217651, 0.870239, -0.456177, 5.371094, -1.647950, 0.854492
461538, 0.271606, 0.874878, -0.423828, 1.953125, 2.380371, 3.845216
461558, 0.341309, 0.883911, -0.376587, 3.662110, -0.061035, 1.342773
461578, 0.320923, 0.887207, -0.365479, 6.774904, -3.601075, -1.892090
461598, 0.273926, 0.876099, -0.420776, 7.995607, -4.638672, -2.258301
461618, 0.249390, 0.872314, -0.439453, 6.408693, -1.953125, 0.305176
461638, 0.232910, 0.862671, -0.453857, 3.662110, -2.197266, 3.906251
461658, 0.275513, 0.867432, -0.446411, -0.183106, 1.098633, 6.225588
461678, 0.335327, 0.879761, -0.375488, 1.037598, 1.342773, 4.760742
461698, 0.374390, 0.878418, -0.385498, 4.211426, -1.770020, -0.244141
461718, 0.317261, 0.867310, -0.426636, 5.065918, -3.723145, -4.760742
461738, 0.234131, 0.862305, -0.463257, 0.244141, -3.051759, -0.915528
461758, 0.237549, 0.871582, -0.425293, -2.014160, 1.342773, 3.173829
461778, 0.323486, 0.881470, -0.383667, -0.549316, 2.868653, 2.807618
461798, 0.322021, 0.878418, -0.389648, 2.624512, 0.610352, 0.244141
461818, 0.293945, 0.869263, -0.424316, 3.051759, -1.647950, -0.427246
461838, 0.261597, 0.864136, -0.451538, 1.281738, -1.098633, 0.793457
461858, 0.285156, 0.866699, -0.434692, -1.220703, 1.098633, 2.197266
461878, 0.307007, 0.875000, -0.404419, -1.037598, 1.525879, 1.464844
461898, 0.326782, 0.875244, -0.394531, 0.854492, 0.183106, -0.427246
461918, 0.309692, 0.867676, -0.422729, 1.281738, -1.708985, -2.319336
461938, 0.259033, 0.872314, -0.418579, 0.732422, -3.112794, -0.915528
461958, 0.252319, 0.869751, -0.434570, 0.244141, -0.122070, 2.319336
461978, 0.284180, 0.871094, -0.417725, -0.549316, 2.319336, 3.845216
461998, 0.322998, 0.871216, -0.412964, -0.244141, 1.464844, 3.234864
462018, 0.337891, 0.871704, -0.403931, 0.488281, -0.793457, 0.244141
462038, 0.300049, 0.868774, -0.418823, 0.732422, -2.746582, -1.342773
462058, 0.240845, 0.872681, -0.425049, 0.061035, -1.342773, 0.793457
462078, 0.278198, 0.868408, -0.424194, -0.061035, 1.220703, 4.028320
462099, 0.333252, 0.869507, -0.411133, 0.061035, 0.000000, 1.159668
462119, 0.342407, 0.870239, -0.397949, 1.464844, -1.953125, -2.685547
462139, 0.310059, 0.876221, -0.404663, 2.685547, -3.234864, -4.455566
462159, 0.317017, 0.891724, -0.376343, 5.065918, -3.417970, -6.042482
462179, 0.307983, 0.922607, -0.332520, 11.962894, -2.258301, -7.202150
462199, 0.266724, 0.931274, -0.355591, 21.484375, 5.432129, -7.690432
462219, 0.219604, 1.021729, -0.206177, 36.682129, 8.422852, 16.052246
462239, 0.250366, 1.009888, -0.233765, 100.280792, -16.418457, 55.786148
462259, 0.252441, 0.583008, -0.587769, 112.243683, 4.821777, 57.739273
462279, 0.107544, 0.484619, -0.710815, 75.988770, 69.274902, 47.607437
462299, 0.465332, 0.572754, -0.723633, 47.912613, 75.073242, 30.761726
462319, 0.445435, 0.614990, -0.609985, 26.306160, 52.368179, 21.179199
