timestamp,ax,ay,az,gx,gy,gz
1571896, 0.278320, 0.528931, -0.926636, 30.456551, -23.559578, 20.935059
1571916, 0.268433, 0.545044, -0.822876, 21.606445, -7.019045, 33.691406
1571936, 0.384277, 0.618530, -0.780396, 26.855476, 3.723145, 45.593277
1571956, 0.373291, 0.617432, -0.769409, 37.109375, 15.197758, 58.776871
1571976, 0.415161, 0.551758, -0.749512, 45.410172, 31.066902, 80.749512
1571996, 0.507935, 0.425171, -0.769775, 47.546402, 38.696289, 97.717316
1572016, 0.556519, 0.280884, -0.764160, 41.992188, 44.372574, 96.557648
1572036, 0.606567, 0.158203, -0.731689, 30.578621, 31.494148, 59.936539
1572056, 0.636597, 0.186401, -0.804443, 24.780281, 27.099617, 30.639656
1572076, 0.610718, 0.293823, -0.801025, 28.564461, 16.235352, 12.146000
1572096, 0.526733, 0.263184, -0.824829, 28.442390, 10.070801, -3.173829
1572116, 0.466797, 0.243164, -0.825806, 21.179199, 15.441898, -14.465336
1572136, 0.477905, 0.213013, -0.735596, 8.422852, 29.663094, -21.118164
1572156, 0.565796, 0.194336, -0.573486, 0.488281, 37.109375, -26.733406
1572176, 0.628906, 0.180298, -0.460693, 0.183106, 26.550301, -28.564461
1572196, 0.712036, 0.230225, -0.465210, -6.225588, 21.362305, -26.489265
1572216, 0.867798, 0.259277, -0.483887, -18.981934, 19.104004, -42.053223
1572236, 0.846069, 0.342285, -0.623535, -21.972656, 12.817387, -52.246109
1572256, 0.858154, 0.477417, -0.637939, -17.517090, 1.586915, -62.194839
1572276, 0.718750, 0.576416, -0.699341, -1.220703, -29.541023, -52.063004
1572296, 0.544067, 0.534302, -0.790527, 0.671387, -27.587898, -39.733887
1572316, 0.490479, 0.475220, -0.842529, -5.310059, -25.390633, -26.245125
1572336, 0.441895, 0.501465, -0.822266, -8.178711, -15.380863, -15.197758
1572356, 0.460938, 0.484619, -0.785767, -6.164553, -1.220703, -7.324221
1572376, 0.524170, 0.440430, -0.741699, -5.615236, 9.643555, -2.502441
1572396, 0.549805, 0.394165, -0.691284, -6.164553, 11.962894, -1.159668
1572416, 0.543945, 0.450806, -0.659180, -8.178711, 31.616219, 0.183106
1572436, 0.620483, 0.460815, -0.653442, -5.432129, 24.719246, -3.356935
1572456, 0.644287, 0.464355, -0.669556, -4.333496, 20.874023, -1.953125
1572476, 0.666382, 0.469849, -0.657349, -4.150391, 10.925293, -2.624512
1572496, 0.643799, 0.475464, -0.650879, -1.831055, 3.234864, -2.685547
1572516, 0.635864, 0.468140, -0.661499, -0.122070, -1.342773, -3.540040
1572536, 0.607666, 0.454834, -0.659668, 1.403809, -1.708985, -2.868653
1572556, 0.602051, 0.436523, -0.672363, 0.732422, -0.061035, -1.708985
1572576, 0.607666, 0.438843, -0.662720, -0.305176, -0.061035, -1.525879
1572596, 0.605957, 0.459717, -0.683960, -0.976563, -0.061035, -1.586915
1572616, 0.605347, 0.450317, -0.658447, -0.183106, 2.136230, 1.525879
