timestamp,ax,ay,az,gx,gy,gz
2854417, 0.190308, 0.899902, -0.420166, 6.958010, 27.465828, -22.766121
2854437, 0.215454, 0.908325, -0.351074, 16.174316, 37.109375, -26.855476
2854457, 0.245117, 0.907593, -0.380737, 21.545410, 20.690918, -26.489265
2854477, 0.295410, 0.864868, -0.502808, 20.812988, 3.295899, -30.883797
2854497, 0.145020, 0.876709, -0.522339, 12.634281, -17.395020, -31.433113
2854517, -0.103149, 0.875732, -0.520142, 5.371094, -21.667480, -17.456055
2854537, -0.081665, 0.904907, -0.438354, 3.784181, -8.972168, 2.990724
2854557, 0.161255, 0.896606, -0.443970, 4.455566, -4.638672, 8.972168
2854577, 0.222778, 0.907349, -0.394531, 7.263186, -8.911133, 3.967286
2854597, 0.174194, 0.890991, -0.453369, 10.559082, -18.188477, 2.136230
2854617, 0.098511, 0.877075, -0.495483, 6.164553, -7.568361, 2.441406
2854637, 0.119995, 0.875977, -0.510498, 2.868653, 3.234864, 4.882813
2854657, 0.205688, 0.889771, -0.445801, 1.098633, 6.042482, 1.403809
2854677, 0.176636, 0.897217, -0.427002, 4.333496, 0.610352, -1.831055
2854697, 0.099487, 0.887207, -0.463989, 5.615236, -1.953125, -0.305176
2854717, 0.109131, 0.880737, -0.486938, 4.821777, 1.220703, 3.967286
2854737, 0.195679, 0.869263, -0.512939, 1.098633, 2.258301, 2.441406
2854757, 0.176636, 0.887573, -0.454224, -0.305176, -0.549316, -1.159668
2854777, 0.130371, 0.892090, -0.443604, 1.953125, -1.464844, -0.793457
2854797, 0.120972, 0.886108, -0.460205, 3.051759, -1.525879, 1.098633
2854817, 0.145874, 0.875000, -0.498779, 1.403809, 0.427246, 2.868653
2854837, 0.142456, 0.885498, -0.462036, 0.305176, 3.356935, 2.685547
2854857, 0.147583, 0.892334, -0.437622, 2.197266, 4.882813, 2.502441
2854877, 0.148438, 0.885498, -0.455566, 4.821777, 1.159668, 3.784181
2854897, 0.131714, 0.873779, -0.500000, 3.295899, 1.403809, 4.943848
2854917, 0.153198, 0.870605, -0.499146, 0.915528, 3.295899, 6.408693
2854937, 0.206421, 0.878662, -0.477051, -1.037598, 3.112794, 4.272461
2854957, 0.235718, 0.885742, -0.445313, 0.244141, -0.671387, -0.732422
2854977, 0.146362, 0.888794, -0.443115, 2.685547, -2.807618, -3.234864
2854997, 0.124268, 0.877197, -0.506836, 2.319336, 0.793457, 3.051759
2855017, 0.167480, 0.871094, -0.501587, -0.976563, 2.136230, 3.967286
2855037, 0.204956, 0.883545, -0.450806, -1.159668, 1.464844, 1.403809
2855057, 0.200684, 0.890503, -0.431396, 2.380371, 0.854492, -1.708985
2855077, 0.167480, 0.875732, -0.483154, 3.295899, -2.868653, -3.356935
2855097, 0.084473, 0.867310, -0.513672, 0.610352, -3.295899, 0.854492
2855117, 0.126953, 0.866821, -0.511108, -2.990724, -2.197266, 5.737307
2855177, 0.214600, 0.886719, -0.444824, 1.647950, 8.300781, 7.568361
2855197, 0.249634, 0.876465, -0.470459, 3.967286, 2.319336, 0.549316
2855217, 0.234863, 0.865234, -0.504272, 1.586915, -3.234864, -4.394531
2855237, 0.124756, 0.878784, -0.473267, -0.122070, -4.516602, -4.943848
2855257, 0.084961, 0.884155, -0.462402, 1.098633, 0.915528, 0.976563
2855277, 0.157959, 0.875000, -0.480835, 0.610352, 3.845216, 4.150391
2855297, 0.213867, 0.878662, -0.465088, 0.549316, 4.272461, 2.685547
2855317, 0.223633, 0.875122, -0.469604, 0.610352, 0.671387, -1.281738
2855357, 0.127808, 0.879028, -0.471924, 2.441406, -0.610352, 0.244141
2855377, 0.196289, 0.870239, -0.493896, 0.427246, -0.671387, 2.929688
2855397, 0.175903, 0.877319, -0.471558, -0.793457, 1.403809, 0.976563
2855417, 0.193237, 0.884521, -0.442993, 0.915528, 3.417970, 0.122070
2855437, 0.194458, 0.882080, -0.454590, 3.173829, 3.601075, -1.525879
2855477, 0.130493, 0.868164, -0.501099, 1.342773, 0.366211, 2.807618
2855497, 0.203491, 0.866821, -0.491943, -0.854492, 2.258301, 3.417970
2855517, 0.207275, 0.880249, -0.451416, -0.854492, 1.708985, 0.305176
2855557, 0.173828, 0.880005, -0.485718, 2.258301, 0.183106, -0.488281
2855577, 0.183960, 0.872437, -0.492920, -0.549316, 0.793457, 1.892090
2855597, 0.209106, 0.871094, -0.469360, -1.586915, -0.183106, 0.183106
2855617, 0.203857, 0.882935, -0.449463, 0.061035, -0.427246, -1.831055
2855637, 0.150635, 0.879028, -0.457520, 1.342773, -0.793457, -1.342773
2855657, 0.160278, 0.874756, -0.487061, 2.014160, -0.122070, 1.403809
2855677, 0.203491, 0.865967, -0.489014, -0.427246, -0.366211, 1.586915
2855697, 0.228394, 0.878296, -0.465332, -0.366211, -2.441406, -1.647950
2855717, 0.167603, 0.878906, -0.461670, 0.366211, -1.892090, -3.112794
2855737, 0.139526, 0.880127, -0.458252, 1.464844, 1.037598, -1.037598
2855757, 0.183838, 0.872437, -0.490967, 0.915528, 0.549316, 2.441406
2855777, 0.200684, 0.874268, -0.473755, 0.061035, -0.976563, 1.342773
2855797, 0.195313, 0.875366, -0.464844, 0.671387, 0.000000, 0.244141
2855817, 0.215698, 0.869873, -0.480957, 0.488281, 0.183106, -2.380371
2855837, 0.151001, 0.880371, -0.464722, 0.366211, 0.305176, -2.258301
2855857, 0.160034, 0.874512, -0.472168, 1.098633, 0.122070, 0.549316
2855877, 0.185913, 0.874878, -0.486816, 0.366211, -0.183106, 1.403809
2855897, 0.189209, 0.876099, -0.459961, -0.061035, 0.061035, 0.366211
2855957, 0.221313, 0.867065, -0.492432, 1.647950, 7.446291, 0.976563
2855977, 0.298218, 0.859863, -0.479492, 0.427246, -1.647950, -3.967286
2855997, 0.099365, 0.858276, -0.381226, 14.221195, -1.037598, -3.723145
2856017, 0.069580, 0.840942, -0.419434, 31.616219, 15.563969, 5.798342
2856037, 0.134644, 0.861694, -0.526123, 33.935547, 37.780762, 7.019045
2856057, 0.190186, 0.853027, -0.525391, 23.010262, 59.814468, 4.150391
2856077, 0.238281, 0.860962, -0.529175, 14.709476, 54.443375, 4.455566
2856097, 0.240234, 0.843750, -0.553101, 9.094238, 36.743164, 7.385256
2856117, 0.124268, 0.842651, -0.509033, 4.516602, 24.414070, 15.563969
2856137, 0.134888, 0.857056, -0.512695, -2.014160, 43.518066, 21.423340
2856157, 0.102783, 0.880859, -0.346191, 3.234864, 56.457535, 28.930672
2856177, 0.201538, 0.857422, -0.413574, 11.474613, 53.161636, 40.283203
2856197, 0.289185, 0.872437, -0.532959, 7.812502, 45.349136, 42.419434
2856217, 0.750366, 0.887817, -0.856445, -32.348633, 26.245125, 5.798342
2856237, 0.683716, 0.857422, -0.658813, -73.852539, -27.587898, -36.926270
2856257, 0.366699, 0.800415, -0.443359, -93.200714, -54.565445, -54.992691
2856277, 0.230713, 0.789063, -0.433594, -91.980011, -61.096207, -51.574722
2856297, 0.106323, 0.853271, -0.213135, -70.251465, -31.066902, -37.902832
2856317, 0.159790, 0.891357, -0.205688, -39.916992, -10.498047, -17.761230
2856337, 0.227905, 0.896973, -0.364380, -24.841316, -12.573246, -3.356935
2856357, 0.215698, 0.897827, -0.301636, -21.179199, -24.719246, 12.268070
2856377, 0.486572, 0.902588, -0.265381, -12.451176, -47.058121, 19.287109
2856397, 1.036377, 0.860352, -0.439331, -11.779789, -117.553741, -8.850098
2856437, 0.293701, 0.911133, -0.065430, -112.731964, -250.671448, 28.808601
2856457, 0.155151, 1.066162, 0.114380, -64.880371, -194.763245, 20.446777
2856477, 0.039185, 1.017090, -0.109497, -12.268070, -138.916016, -8.789063
2856497, -0.416870, 0.968140, -0.323853, 9.399414, -71.594238, -37.048340
2856517, -0.716064, 1.050415, 0.127686, 79.772949, 63.720718, 14.770512
2856537, -0.265991, 0.926758, -0.323242, 97.900421, 139.038086, 33.203125
2856557, 0.260254, 0.880981, -0.500122, 53.894058, 145.874023, 36.682129
2856577, 0.672974, 0.914063, -0.329590, 27.221687, 111.450226, 26.000984
2856597, 0.640381, 0.886108, -0.364990, 29.296883, 52.185074, 0.732422
2856617, 0.420654, 0.904053, -0.374878, 16.174316, -19.287109, -1.586915
2856637, 0.230469, 0.882568, -0.489258, 12.268070, -44.311539, 0.732422
2856657, 0.273193, 0.914795, -0.639893, -15.686039, -84.411621, -0.122070
2856697, 0.362549, 0.779663, -0.298584, -176.391602, -150.207520, -39.123535
