timestamp,ax,ay,az,gx,gy,gz
3449478, 0.159058, 0.732910, -0.672974, -1.831055, -3.173829, -0.976563
3449498, 0.180908, 0.733398, -0.673340, -1.403809, -1.037598, 0.976563
3449518, 0.196899, 0.733154, -0.668823, -1.098633, 0.000000, 1.831055
3449538, 0.211548, 0.733032, -0.669556, -0.732422, -0.915528, 1.708985
3449558, 0.210327, 0.728516, -0.672729, -0.610352, -1.159668, 0.915528
3449578, 0.199219, 0.734131, -0.671997, 0.000000, -0.915528, 0.488281
3449598, 0.192261, 0.728394, -0.674438, -0.427246, 0.061035, 1.098633
3449618, 0.200317, 0.735596, -0.665649, 0.000000, -0.366211, 1.586915
3449658, 0.204224, 0.734863, -0.667969, 0.549316, 0.610352, 2.441406
3449678, 0.213013, 0.731567, -0.668457, 1.037598, 0.305176, 2.380371
3449698, 0.214600, 0.730103, -0.673584, 1.098633, 0.610352, 1.464844
3449718, 0.215210, 0.730713, -0.672974, 1.098633, -0.061035, 0.915528
3449738, 0.210449, 0.730225, -0.674683, 0.915528, 0.244141, 0.610352
3449758, 0.210693, 0.730469, -0.673706, 0.793457, 0.000000, 0.427246
3449778, 0.210083, 0.730591, -0.672729, 0.793457, 0.183106, 0.305176
3449798, 0.208252, 0.729614, -0.672852, 0.915528, 0.183106, 0.305176
3449818, 0.201172, 0.731445, -0.669922, 1.159668, 2.807618, 0.305176
3449858, 0.225830, 0.729004, -0.675903, 1.098633, 0.854492, 0.427246
3449878, 0.221313, 0.728027, -0.674805, 0.854492, -0.305176, -0.183106
3449898, 0.218750, 0.728394, -0.673340, 0.793457, -0.854492, -0.793457
3449998, 0.210938, 0.728638, -0.674805, -0.061035, -0.305176, -0.976563
3450018, 0.207275, 0.729248, -0.672729, 0.000000, 0.244141, -1.037598
3450038, 0.203979, 0.731079, -0.674438, 0.061035, 2.624512, -1.098633
3450058, 0.212402, 0.729736, -0.675171, 0.061035, 5.676271, -1.464844
3450078, 0.239868, 0.727539, -0.674561, -0.122070, 6.896975, -2.929688
3450118, 0.214844, 0.723755, -0.682495, -1.953125, 3.784181, -6.652834
3450138, 0.206787, 0.729614, -0.685181, -3.845216, 4.455566, -6.347658
3450158, 0.195435, 0.733276, -0.676147, -5.187988, 4.028320, -4.821777
3450178, 0.202881, 0.734009, -0.674561, -6.225588, 2.807618, -3.295899
3450198, 0.201538, 0.733398, -0.683594, -7.629396, 2.624512, -2.502441
3450218, 0.202026, 0.735962, -0.685181, -9.521484, 2.929688, -1.342773
3450238, 0.205200, 0.739624, -0.679688, -11.596684, 6.042482, -1.342773
3450258, 0.222900, 0.746094, -0.650879, -12.329105, 8.300781, -1.892090
3450278, 0.236450, 0.752441, -0.623169, -11.230473, 6.713869, -2.990724
3450298, 0.227417, 0.765625, -0.607178, -8.483887, 5.554201, -3.784181
3450318, 0.239502, 0.756592, -0.641602, -6.774904, 3.234864, -4.455566
3450338, 0.240845, 0.758301, -0.641724, -7.507326, -7.751467, -6.164553
3450358, 0.228027, 0.757324, -0.642456, -8.361816, -9.887695, -7.507326
3450378, 0.198242, 0.766235, -0.626465, -8.422852, -11.840824, -7.690432
3450398, 0.168213, 0.769165, -0.629028, -7.629396, -10.498047, -5.859377
3450418, 0.160645, 0.772583, -0.623535, -7.202150, -7.629396, -3.234864
3450438, 0.159546, 0.777344, -0.618774, -6.408693, -6.103518, -0.610352
3450458, 0.173096, 0.774536, -0.622070, -5.371094, -1.464844, 0.976563
3450478, 0.187012, 0.774414, -0.622681, -5.187988, -1.708985, 2.136230
