timestamp,ax,ay,az,gx,gy,gz
1518413, 0.563721, 0.463257, -0.699829, -0.061035, -0.732422, -0.732422
1518433, 0.567993, 0.473877, -0.703369, -0.427246, -1.770020, -1.098633
1518453, 0.573486, 0.467407, -0.679199, 0.183106, -1.831055, 0.122070
1518473, 0.583862, 0.448975, -0.675415, -0.244141, -1.892090, -0.610352
1518493, 0.575073, 0.463623, -0.678589, -0.915528, -0.427246, -1.220703
1518513, 0.584351, 0.470703, -0.676392, -0.488281, -0.122070, -1.525879
1518533, 0.576782, 0.485107, -0.687988, -0.061035, -0.244141, -0.366211
1518553, 0.571533, 0.471436, -0.691650, 0.244141, -1.403809, -0.488281
1518573, 0.569580, 0.463989, -0.689087, 0.488281, -1.953125, -1.708985
1518593, 0.565430, 0.455933, -0.686157, 0.488281, -1.708985, -2.014160
1518613, 0.578857, 0.465942, -0.684937, -0.183106, -1.403809, -2.624512
1518633, 0.576904, 0.484985, -0.676270, 0.366211, -1.159668, -1.464844
1518653, 0.572266, 0.479004, -0.682983, 0.488281, -0.976563, -0.366211
1518673, 0.570557, 0.471313, -0.684204, 0.122070, -0.671387, 0.061035
1518693, 0.568848, 0.465088, -0.682739, 0.305176, -0.427246, -0.366211
1518713, 0.571533, 0.471436, -0.691406, 0.610352, -0.732422, -1.464844
1518733, 0.569702, 0.474243, -0.686035, 0.549316, -1.098633, -1.586915
1518753, 0.570801, 0.469849, -0.685181, 0.793457, -1.281738, -1.892090
1518773, 0.567871, 0.470215, -0.686523, 0.488281, -0.976563, -1.770020
1518793, 0.568359, 0.471313, -0.687988, 0.061035, -0.915528, -1.831055
1518813, 0.572021, 0.475952, -0.686401, -0.061035, -0.427246, -0.976563
1518833, 0.579224, 0.481689, -0.679077, 0.427246, -0.854492, -0.793457
1518853, 0.569458, 0.469116, -0.679199, 0.976563, -1.281738, -1.098633
1518873, 0.563965, 0.469971, -0.693115, 0.244141, -1.098633, -1.281738
1518893, 0.567505, 0.481567, -0.692627, 0.183106, -0.976563, -1.159668
1518913, 0.566528, 0.473145, -0.688599, 0.915528, -1.220703, -1.281738
1518933, 0.568970, 0.469482, -0.686401, 0.244141, -1.037598, -1.342773
1518973, 0.572144, 0.472778, -0.684570, 0.000000, -0.854492, -2.197266
1518993, 0.561279, 0.470703, -0.686646, -0.366211, -0.305176, -1.647950
1519013, 0.565308, 0.476318, -0.687866, -0.488281, -0.610352, -2.319336
1519033, 0.562500, 0.480103, -0.687012, 0.000000, -1.037598, -2.807618
1519053, 0.561523, 0.483154, -0.692993, -0.305176, -1.159668, -1.708985
1519073, 0.563477, 0.480835, -0.686035, -0.488281, -1.586915, -1.647950
1519093, 0.572998, 0.480103, -0.676636, -0.610352, -1.220703, -1.159668
1519113, 0.561523, 0.476807, -0.692261, -0.183106, -1.770020, -2.380371
1519133, 0.561646, 0.489136, -0.690918, -0.183106, -0.976563, -1.342773
1519153, 0.567261, 0.482910, -0.680664, 0.427246, -0.610352, -0.732422
1519173, 0.561646, 0.476563, -0.685791, -0.122070, -1.037598, -1.403809
1519193, 0.564453, 0.487061, -0.683594, -0.061035, -0.854492, -1.098633
1519213, 0.565430, 0.479126, -0.683350, 0.854492, -1.220703, -0.976563
1519233, 0.561646, 0.490356, -0.699341, 0.305176, -1.342773, -1.220703
1519253, 0.558228, 0.474854, -0.677490, 0.427246, -1.037598, 0.549316
1519273, 0.565918, 0.479004, -0.691284, -0.610352, -1.464844, -0.915528
1519293, 0.556396, 0.476929, -0.679565, -0.305176, -1.220703, -1.953125
1519313, 0.557861, 0.476685, -0.692871, -1.892090, -0.549316, -2.807618
1519333, 0.558716, 0.480469, -0.684692, -1.647950, -0.793457, -3.540040
1519353, 0.555664, 0.470825, -0.685181, -2.502441, -0.976563, -4.394531
1519373, 0.557495, 0.464722, -0.686035, -4.638672, -1.159668, -5.615236
1519393, 0.561157, 0.472534, -0.678467, -6.591799, -1.159668, -7.446291
1519413, 0.562744, 0.506348, -0.682129, -5.798342, -2.136230, -8.850098
1519433, 0.551514, 0.528076, -0.691406, -3.662110, -2.502441, -6.958010
1519453, 0.544189, 0.504517, -0.685547, -3.417970, -1.525879, -4.638672
1519473, 0.553101, 0.483887, -0.673950, -4.333496, -1.403809, -4.943848
1519493, 0.544189, 0.494263, -0.687256, -7.873537, -1.647950, -8.789063
1519513, 0.547729, 0.523926, -0.684937, -6.591799, -2.441406, -9.765625
1519533, 0.539795, 0.484375, -0.685425, -7.263186, -4.272461, -10.375977
1519553, 0.539917, 0.459961, -0.663940, -12.817387, -2.868653, -8.911133
1519573, 0.552979, 0.479980, -0.652588, -16.601563, -2.319336, -10.009766
1519593, 0.541626, 0.522217, -0.660034, -18.432617, -3.173829, -12.023930
1519613, 0.525757, 0.525757, -0.671143, -19.836426, -2.929688, -9.887695
1519633, 0.530518, 0.535522, -0.657104, -21.911621, -2.258301, -5.249023
1519653, 0.538086, 0.545776, -0.651367, -21.301270, -2.319336, -3.601075
1519673, 0.526489, 0.566284, -0.663818, -21.911621, -2.319336, -7.141115
1519693, 0.506958, 0.661377, -0.636597, -19.470215, 0.305176, -5.798342
1519713, 0.583740, 0.655518, -0.643066, 0.244141, 0.915528, 0.122070
1519733, 0.493164, 0.554688, -0.658813, -0.854492, -6.713869, -0.427246
1519753, 0.497192, 0.563232, -0.640991, -1.220703, 0.244141, 1.647950
1519773, 0.518555, 0.570557, -0.658447, -0.366211, 4.089355, 0.549316
1519793, 0.484863, 0.571899, -0.640137, 2.502441, 12.146000, 0.854492
1519813, 0.484741, 0.559204, -0.640991, 8.422852, 23.742683, 0.976563
1519833, 0.460938, 0.578003, -0.643433, 14.282230, 35.705566, 0.732422
1519853, 0.523193, 0.581421, -0.680542, 14.465336, 40.893555, -2.319336
1519873, 0.582397, 0.595093, -0.640625, 10.803223, 23.315437, -7.873537
1519893, 0.592041, 0.602173, -0.641235, 8.789063, 12.634281, -12.817387
1519913, 0.617432, 0.633057, -0.604736, 7.141115, 1.403809, -17.028809
1519933, 0.573486, 0.632202, -0.612305, 6.103518, -8.361816, -23.376472
1519953, 0.561523, 0.622070, -0.614136, 3.173829, -9.155273, -22.888191
1519973, 0.567383, 0.620972, -0.619873, -1.342773, -12.695316, -21.057129
1519993, 0.522583, 0.556030, -0.634277, -7.202150, -13.610844, -20.507813
1520013, 0.564819, 0.528564, -0.595581, -10.559082, -12.207035, -8.666992
1520033, 0.606323, 0.549805, -0.612793, -11.352543, -22.766121, -4.089355
1520053, 0.620728, 0.550049, -0.614380, -12.878422, -44.006348, 0.549316
1520073, 0.536865, 0.548828, -0.609131, -12.939457, -55.419937, 3.356935
1520093, 0.452148, 0.552124, -0.610596, -10.864258, -44.189453, 10.864258
1520113, 0.443359, 0.567505, -0.611084, -6.958010, -15.869144, 16.906738
1520133, 0.449707, 0.565430, -0.660034, -3.173829, -4.577637, 17.578125
1520153, 0.424072, 0.579468, -0.677002, -0.671387, 2.563477, 17.822266
1520173, 0.440918, 0.587036, -0.701782, 0.549316, 13.366703, 17.639160
1520193, 0.460327, 0.554199, -0.702881, 2.624512, 18.066406, 12.390141
1520213, 0.444824, 0.559204, -0.672974, 5.615236, 24.292000, 12.695316
1520253, 0.535156, 0.629761, -0.613037, 3.784181, 37.414551, 7.507326
