timestamp,ax,ay,az,gx,gy,gz
1296461, 0.610352, 0.432007, -0.665039, -0.122070, -0.061035, -0.732422
1296481, 0.619141, 0.443237, -0.673584, -0.732422, 0.122070, -0.793457
1296501, 0.615112, 0.442993, -0.661377, -0.183106, -0.305176, 0.000000
1296521, 0.617310, 0.432861, -0.667847, -0.244141, -0.915528, -0.793457
1296541, 0.612061, 0.432495, -0.666504, -0.915528, -0.732422, -0.915528
1296561, 0.616455, 0.437744, -0.668945, -1.159668, -0.793457, -0.915528
1296581, 0.611694, 0.439209, -0.666626, -1.525879, -0.366211, -0.915528
1296601, 0.614990, 0.441650, -0.667358, -1.586915, -0.305176, -0.854492
1296621, 0.610962, 0.442627, -0.668579, -1.525879, -0.732422, -0.610352
1296641, 0.615234, 0.442871, -0.668213, -1.708985, -0.549316, -0.610352
1296661, 0.613159, 0.447754, -0.664917, -1.037598, -0.671387, -0.671387
1296681, 0.613647, 0.442749, -0.660156, -0.122070, -1.037598, -1.037598
1296701, 0.611206, 0.444336, -0.670288, -0.488281, -0.854492, -0.976563
1296721, 0.614502, 0.451050, -0.669189, -0.488281, -0.610352, -0.305176
1296741, 0.615356, 0.454224, -0.668213, 0.183106, -1.098633, 0.000000
1296761, 0.608521, 0.437744, -0.666748, 0.244141, -0.732422, -0.854492
1296781, 0.611816, 0.438965, -0.668457, -0.427246, -0.732422, -1.464844
1296801, 0.611572, 0.449585, -0.665771, -0.366211, -0.244141, -0.976563
1296821, 0.615356, 0.452148, -0.667358, -0.122070, -0.610352, -0.427246
1296841, 0.612183, 0.450928, -0.664673, 0.061035, -0.854492, 0.305176
1296861, 0.613892, 0.441406, -0.663696, 0.366211, -0.976563, 0.000000
1296881, 0.608398, 0.443237, -0.668457, -0.244141, -1.037598, -0.427246
1296901, 0.611572, 0.446289, -0.666748, -0.427246, -0.732422, -0.610352
1296921, 0.613159, 0.446655, -0.667114, -0.427246, -0.732422, -0.549316
1296941, 0.615234, 0.450317, -0.661255, -0.183106, -0.549316, 0.183106
1296961, 0.615234, 0.443604, -0.659668, -0.183106, -0.671387, -0.061035
1296981, 0.610962, 0.447998, -0.661987, -0.305176, -0.854492, -0.488281
